E_fitted,s_fitted,N_fitted,n0_fitted,E_initial,s_initial,N_initial,n0_initial,temp_K,int_peak1,int_peak2,int_peak3,int_peak4,int_peak5,int_peak6,int_peak7,int_peak8,int_peak9,int_sum,temp_data_K,int_data_cps
,,,,,,,,475.5629332,42.97524328869948,815.3455650567422,5737.103833632116,404.22581552359037,3.3377587556869086,0.10951553125492362,0.0017797675810365722,0.017071163069649897,,7003.1165827187415,475.5629332,6761.654078
,,,,,,,,476.56681619999995,40.90144433333893,778.2205946770847,5663.486837715697,425.69016935892205,3.546823851353057,0.11588996691665682,0.0018942391881466944,0.018356657293154686,,6911.982010799794,476.56681619999995,6734.95079
,,,,,,,,477.5405828,38.992291912631536,743.850117612792,5586.657834464143,447.40502766124945,3.7611932151624465,0.12239962941149499,0.002011802992716341,0.019690262968883727,,6820.810566561351,477.5405828,6648.35584
,,,,,,,,478.5645435,37.087589468723145,709.3740189747672,5500.526869937913,471.2137029923004,3.9995602265467265,0.12960851410047255,0.0021427389323472857,0.021190720747663944,,6722.354683574031,478.5645435,6523.041123
,,,,,,,,479.5483488,35.35152710863062,677.7876654751662,5413.0245578431,495.0521885600116,4.241736260951968,0.1369027815075367,0.002275983133909477,0.022733216428116543,,6625.61958722893,479.5483488,6454.947738
,,,,,,,,480.5120765,33.73535819701272,648.2422902100665,5323.188710392485,519.3399660120132,4.492120215500268,0.14441465165501094,0.002413960215013916,0.02434625311869953,,6529.169619892065,480.5120765,6402.113375
,,,,,,,,481.52599839999993,32.12042732668753,618.5835066424502,5224.69475354798,545.9127804477794,4.770317300442708,0.1527278389404149,0.002567509354934554,0.026159252252121887,,6426.263239865887,481.52599839999993,6379.034104
,,,,,,,,482.64030849999995,30.441009993923753,587.595305157265,5112.263079526162,576.3461034505345,5.09446539968904,0.16237302937922796,0.0027467291964575736,0.02829800263796922,,6311.933381288789,482.64030849999995,6268.596933
,,,,,,,,483.6441915,29.00876925482394,561.0504054636534,5007.6885759315455,604.884979922135,5.403885775644411,0.17154139855404177,0.0029180991869840944,0.03036471968069914,,6208.2414405652235,483.6441915,6228.160525
,,,,,,,,484.62799689999997,27.675314484698344,536.2386168531633,4902.604931177255,633.8996051271528,5.723964512127474,0.18098847882798152,0.0030956576355842106,0.032527257803109305,,6106.359043548663,484.62799689999997,6114.480812
,,,,,,,,485.6218411,26.395005898150806,512.3266019675012,4794.23185100355,664.2745588951793,6.065101910176401,0.19101813988640165,0.0032852015969637087,0.03485841111185966,,6003.522281427152,485.6218411,6074.044404
,,,,,,,,486.64580179999996,25.142331354408856,488.84583487385987,4680.65205148146,696.6992122607338,6.436232556352448,0.20188680523363325,0.003491748564011773,0.03742400127137202,,5898.018465081884,486.64580179999996,6056.878004
,,,,,,,,487.6496848,23.9761704033322,466.91098100323,4567.7958638730815,729.6081654515855,6.820439501122207,0.21309434858477438,0.003705925680002706,0.040110894784450485,,5795.368531401401,487.6496848,5980.201419
,,,,,,,,488.62345129999994,22.900493648901378,446.61310377349866,4457.2558687683495,762.593435820205,7.213343987324701,0.224512117425004,0.003925304328014012,0.04288968898984486,,5696.847573109022,488.62345129999994,5844.396124
,,,,,,,,489.647412,21.825208674414835,426.2600956597541,4340.239477047464,798.4094620015932,7.649060126645712,0.23712575168679093,0.004168984303465545,0.04600638949251347,,5594.670604635355,489.647412,5786.411841
,,,,,,,,490.66133379999997,20.813889917698457,407.06063403763477,4223.927877039672,835.0130818398304,8.10443145874219,0.2502575375941471,0.004424082016034871,0.04930142052354449,,5495.223897333713,490.66133379999997,5743.114366
,,,,,,,,491.655178,19.871454861344283,389.1188592463162,4109.807626024786,871.9844014829663,8.57505007217645,0.2637778089896016,0.004688156317428738,0.05274552115962809,,5399.678603174055,491.655178,5593.194476
,,,,,,,,492.65906099999995,18.966027086434934,371.8360496879021,3994.717497516233,910.415620059926,9.076017156976055,0.27811629543706556,0.0049697231593677565,0.05645310662955866,,5305.350750632699,492.65906099999995,5555.428397
,,,,,,,,493.8536818,17.946128787140818,352.31464673919703,3858.3804921976375,957.5486115958741,9.707440976019926,0.2961149995599342,0.005325260309447159,0.06118419400337473,,5196.259944749741,493.8536818,5503.73846
,,,,,,,,494.7571766,17.21409198750429,338.2680242001928,3755.9631484867928,994.1846403308232,10.21173262259206,0.3104345465352592,0.0056097074176687444,0.06500712753624378,,5116.222689009393,494.7571766,5454.528115
,,,,,,,,495.8413702,16.37789070630233,322.1867793820661,3634.116280487186,1039.241455317501,10.848853493899759,0.32846022208253073,0.00596967562706357,0.06989086737627122,,5023.175580152042,495.8413702,5352.674144
,,,,,,,,497.0460298,15.499867338398735,305.26004250288213,3500.386574885042,1090.6549424990178,11.59977780034017,0.3496177824107022,0.006394759604352252,0.07572066408590061,,4923.8329382317825,497.0460298,5226.596475
,,,,,,,,498.05995169999994,14.800189952056682,291.7412773630814,3389.415574100639,1134.9806907184875,12.268754386916182,0.3683917372138629,0.006774164549110177,0.08097834616301086,,4843.662630769106,498.05995169999994,5107.766842
,,,,,,,,499.10398999999995,14.115202020765784,278.4803700174937,3276.859061034018,1181.5745489868095,12.994727305357237,0.3886908773647629,0.007186616792918898,0.08674921999556985,,4764.5065360785975,499.10398999999995,5035.667964
,,,,,,,,500.34880499999997,13.342889127117065,263.49812141589666,3145.157608469229,1238.3066934618769,13.912121654417515,0.4142392054174383,0.007708848791615539,0.09413444193068594,,4674.733516624677,500.34880499999997,4955.176623
,,,,,,,,501.37276569999995,12.741775341026118,251.81443888100497,3039.027046578273,1285.8561258054738,14.7112026320184,0.43640510723414166,0.008164621862374271,0.10064775202396758,,4604.695806718917,501.37276569999995,4874.685283
,,,,,,,,502.3364934,12.202662846936112,241.31908788620981,2941.0721673143253,1331.2663054266213,15.501784085103443,0.4582603210260879,0.008616328986359516,0.10716235497109117,,4541.936046564179,502.3364934,4770.35172
,,,,,,,,503.5813083,11.54246893738561,228.44498746427604,2817.459859245345,1390.7531964070442,16.580996016410253,0.4879822621433834,0.009234150747736288,0.11616373871445554,,4465.394888222067,503.5813083,4678.034638
,,,,,,,,504.62534659999994,11.018476255790304,218.21002599338334,2716.417928061226,1441.2611626148484,17.539133608686623,0.5142683737187403,0.009783775490335107,0.12425558720489523,,4405.095034270349,504.62534659999994,4640.840772
,,,,,,,,505.5991132,10.552855456080916,209.10274657689948,2624.409622922369,1488.779359187536,18.47853782796637,0.5399541546295362,0.010323630856110193,0.13227688987184197,,4352.005676646209,505.5991132,4622.720684
,,,,,,,,506.8640058,9.979507379482548,197.872313505261,2508.1873473358655,1550.9427259423644,19.768047916610627,0.5750828984898446,0.011066196386988523,0.14342291914980845,,4287.479514093612,506.8640058,4599.259937
,,,,,,,,507.86788879999995,9.548427479212924,189.41692076489423,2418.641432205494,1600.5021398524084,20.849913911427223,0.6044468887114022,0.011690487248865795,0.15288982234859494,,4239.727861411745,507.86788879999995,4536.888685
,,,,,,,,508.8818106,9.133389605343597,181.26679416755672,2330.6478343954864,1650.632455267522,21.997697710726033,0.6354994968636071,0.012354060892123318,0.16304407339938318,,4194.48906877779,508.8818106,4453.917754
,,,,,,,,510.1366644,8.64652671511688,171.69455698131534,2225.172300872948,1712.5950722313537,23.498661994414356,0.675961706645262,0.013223682667412999,0.17648740993480075,,4142.472791594396,510.1366644,4331.464103
,,,,,,,,511.12046979999997,8.28445030954894,164.5676269511025,2145.135887933213,1760.9628271973552,24.740660332546348,0.7093266790388522,0.013944804547933076,0.1877465664478861,,4104.602470773801,511.12046979999997,4261.081865
,,,,,,,,512.0841975,7.945609649994305,157.89181910599615,2068.9922906619613,1808.0331092588508,26.01554292448161,0.743473011573106,0.014686419042764737,0.19942613999603379,,4069.835957171896,512.0841975,4218.928817
,,,,,,,,513.2587406,7.552772642278497,150.1446820218491,1979.1995629790601,1864.8077645156507,27.650801597017107,0.7871303360259082,0.015639676690442205,0.2145816271213549,,4030.3729353956933,513.2587406,4111.161975
,,,,,,,,514.2927401,7.224297607472827,143.66069373755505,1902.8627628359957,1914.0820065135013,29.16792241397178,0.8275013180880888,0.01652602036722707,0.22881070736204215,,3998.0705211543136,514.2927401,4094.758526
,,,,,,,,515.3468173,6.905288245208774,137.35825380180506,1827.6270992346126,1963.460884801568,30.792766189132514,0.870607464632093,0.017477317274210646,0.24422291473320182,,3967.276599968967,515.3468173,4069.008927
,,,,,,,,516.5012828,6.573291170447175,130.79372994880177,1748.176682061239,2016.3551477316805,32.667256252703936,0.9201796850155536,0.018577288293229872,0.2622165421396666,,3935.7670806803208,516.5012828,4087.129015
,,,,,,,,517.4549715999999,6.3120504286657875,125.62435830260253,1684.8331065126454,2058.958610748982,34.29396101763523,0.9630722718486376,0.019533975649592465,0.27801006114458304,,3911.282703319174,517.4549715999999,4075.875486
,,,,,,,,518.4688934999999,6.046580025750062,120.3678085229714,1619.72000858719,2103.016634107615,36.10445136268458,1.0106819488107892,0.020601001642888805,0.29577583745580355,,3886.5825413941207,518.4688934999999,3999.198901
,,,,,,,,519.7739414,5.72252703889968,113.94657033899576,1539.2253177534078,2157.6078337597296,38.563409353168296,1.0751425970711461,0.022053899529762562,0.3202099065723156,,3856.4830646473747,519.7739414,3887.04509
,,,,,,,,520.7677856,5.488364595828287,109.30337434664001,1480.3702586051256,2197.4002668036965,40.53760647342946,1.126740090613094,0.023223366818257582,0.34007184673799085,,3834.5899061288897,520.7677856,3807.507439
,,,,,,,,521.7315133,5.271175727480049,104.99439916246706,1425.2683471135401,2234.3709840853326,42.539673796204205,1.178935326790906,0.024411998084647533,0.3604288121383083,,3814.0083560220382,521.7315133,3750.095369
,,,,,,,,522.9964059,5.000123696716217,99.61366981730018,1355.8148655523353,2280.272769669828,45.304240277422956,1.2508095199615958,0.02605761349648621,0.38888156420363157,,3787.6714177112644,522.9964059,3678.759442
,,,,,,,,524.0103277,4.79374713471447,95.51454437760674,1302.428466797518,2314.753132121969,47.63741981433883,1.3113019206677674,0.027450223528931877,0.4131930221824777,,3766.8792554125257,524.0103277,3640.611887
,,,,,,,,525.0242496,4.596564261260554,91.59621309609284,1251.017903454989,2347.0331212668284,50.079483417101656,1.3744672572955514,0.028911444616926116,0.4389215253490957,,3746.1655857235337,525.0242496,3640.421149
,,,,,,,,526.1485986,4.388125704183074,87.45232141050855,1196.2515799616986,2380.107850818374,52.92021860420515,1.4477665085872062,0.03061577659996341,0.46920183548744093,,3723.0676806196448,526.1485986,3597.50515
